date,type,operator,fatalities,location,country,cat,year
16-NOV-1933,LiorÃ© et Olivier 213,Air France,0.0,near Beauvais,France,A1,1933
21-NOV-1933,Kalinin K-7,Kalinin Design Bureau,6.146275647879436,near Kharkov,Ukraine,A1,1933
24-NOV-1933,Fokker F.10A,AerovÃ­as Centrales,6.146275647879436,LeÃ³n,Mexico,A1,1933
15-JAN-1934,Dewoitine D.332,Air France,10.0,Corbigny,France,A1,1934
05-MAR-1934,Ford 4-AT-B Tri-Motor,Morgan Air Lines,1.0,ToncontÃ­n,Honduras,A1,1934
10-MAR-1934,Junkers F.24k2ay (G.24),Deutsche Lufthansa,6.146275647879436,Gliwice,Poland,A1,1934
22-MAR-1934,Ford 5-AT-C Tri-Motor,Panagra,4.0,Lima-Limatambo A...,Peru,A1,1934
31-MAY-1934,LiorÃ© et Olivier 213,Air France,2.0,Croydon,U.K.,A1,1934
09-JUN-1934,Curtiss T-32 Condor II,American Airways,7.0,near Livingston Manor...,USA,A1,1934
11-JUN-1934,Ford C-4A (5-AT-D) Tri-Motor,USAAC,0.0,"Camp Skeel, Osco...",USA,A1,1934
11-JUN-1934,Ford 5-AT-C Tri-Motor,Panagra,5.0,Junin,Argentina,A1,1934
23-JUN-1934,Ford 4-AT-B Tri-Motor,Mulzer Flying Service,0.0,"Columbus, OH",USA,O1,1934
01-JUL-1934,Ford 4-AT-D Tri-Motor,Private,0.0,"Lima, OH",USA,A1,1934
27-JUL-1934,Curtiss AT-32C Condor II,Swissair,12.0,Wurmlingen/Tuttl...,Germany,A1,1934
02-SEP-1934,Ford 5-AT-D Tri-Motor,Hanford's Tri-State Airlines,0.0,"Cochrane, WI",USA,A1,1934
22-SEP-1934,Handley Page W.10,National Aviation Displays,4.0,"Aston Clinton, B...",U.K.,A1,1934
27-SEP-1934,Fokker F.10A,Mexicana,6.146275647879436,Irapuato,Mexico,A1,1934
19-OCT-1934,DH.86 Express,Holyman's Airways,11.0,near Wilsons Promonto...,Australia,A1,1934
26-OCT-1934,Ford 4-AT-E Tri-Motor,Ptarmigan Airlines,0.0,"Flat Airport, AK...",USA,A1,1934
29-OCT-1934,Ford 4-AT-.  Tri-Motor,TACA de Honduras,0.0,La Ceiba Airport...,Honduras,O1,1934
06-NOV-1934,Junkers Ju-52/3mge,Deutsche Reichsbahn-Gesellschaft,5.0,"Gross-Rackitt, P...",Poland,A1,1934
15-NOV-1934,DH.86 Express,Qantas,4.0,"near Ilfracombe, QLD",Australia,A1,1934
10-DEC-1934,Ford 4-AT-E Tri-Motor,Cubana,4.0,near Palma Soriano,Cuba,A1,1934
19-DEC-1934,Curtiss AT-32B Condor II,American Airways,0.0,"Buffalo, NY",USA,A1,1934
20-DEC-1934,Douglas DC-2-115A,KLM,7.0,near Rutbah Wells,Iraq,A1,1934
28-DEC-1934,Curtiss T-32C Condor II,American Airways,0.0,"near Wilmurt, NY",USA,A1,1934
??-???-1934,Ford 4-AT-B Tri-Motor,Private,0.0,"Boca Chica, Tama...",Mexico,O1,1934
23-JAN-1935,Curtiss T-32 Condor II,Eastern Air Transport,6.146275647879436,"Atlanta, GA",USA,A1,1935
31-JAN-1935,Junkers Ju-52/3mge,Deruluft,11.0,near Szczecin,Poland,A1,1935
06-APR-1935,Fokker F.XII,KLM,7.0,near Brilon,Germany,A1,1935
16-APR-1935,Consolidated 16 Commodore,Pan Am,0.0,"Miami, FL",USA,O1,1935
25-APR-1935,Junkers Ju-52/3mho,Deutsche Lufthansa,3.0,near Hallgarten,Germany,A1,1935
28-APR-1935,Ford 4-AT-B Tri-Motor,Private,0.0,"Gadsden, AL",USA,A1,1935
06-MAY-1935,Douglas DC-2-112,TWA,5.0,"near Atlanta, MO",USA,A1,1935
07-MAY-1935,Ford 4-AT-.  Tri-Motor,private,1.0,Lake Izabal,Guatemala,A1,1935
18-MAY-1935,Tupolev ANT-20 Maxim Gorky,Tupolev,6.146275647879436,Moscow,Russia,A1,1935
18-MAY-1935,Ford 4-AT-E Tri-Motor,Knowles Flying Service,3.0,Flint-Bishop Air...,USA,A1,1935
22-JUN-1935,Savoia-Marchetti S-66,Ala Littoria,0.0,Marsaxlokk Bay,Malta,A1,1935
24-JUN-1935,Ford 5-AT-B Tri-Motor,SACO,10.0,MedellÃ­n-Enriqu...,Colombia,A1,1935
24-JUN-1935,Ford 5-AT-D Tri-Motor,SCADTA,7.0,MedellÃ­n-Enriqu...,Colombia,A1,1935
09-JUL-1935,Savoia-Marchetti S-66,Ala Littoria,0.0,"near MahÃ³n, Menorca",Spain,A1,1935
