,date,type,operator,fatalities,location,country,cat,year,is_fatal,decade,severity
17409,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17410,21-JUL-1993,Convair Cv-580,Canair Cargo,0.0,"Tofino Airport, ...",Canada,A2,1993,0,1990,No Fatalities
17411,22-JUL-1993,Lockheed Cc-130E Hercules,Canadian Armed Forces,5.0,near Wainwright Airpo...,Canada,A1,1993,1,1990,Low Fatalities
17412,23-JUL-1993,Bae-146-300,China Northwest,56.0,Yinchuan Airport...,China,A1,1993,1,1990,High Fatalities
17413,25-JUL-1993,Boeing 757-260,Ethiopian Airlines,0.0,Djibouti Airport...,Djibouti,H2,1993,0,1990,No Fatalities
17414,26-JUL-1993,Boeing 707-327C,TMA,0.0,Amsterdam-Schiph...,Netherlands,A1,1993,0,1990,No Fatalities
17415,26-JUL-1993,Boeing 737-5L9,Asiana Airlines,68.0,near Mokpo Airport (MPK),South Korea,A1,1993,1,1990,High Fatalities
17416,26-JUL-1993,Canadair Crj-100,Bombardier,3.0,"Byers, KS",USA,A1,1993,1,1990,Low Fatalities
17417,27-JUL-1993,Convair Cv-240,Renoun Aviation,0.0,Boise Air Termin...,USA,A2,1993,0,1990,No Fatalities
17418,30-JUL-1993,Shorts Sc.7 Skyvan 3-100,Hornbill Skyways,1.0,"Long Loyang, Sar...",Malaysia,A1,1993,1,1990,Low Fatalities
17419,31-JUL-1993,Dornier 228-101,Everest Air,19.0,near Bharatpur Airpor...,Nepal,A1,1993,1,1990,Medium Fatalities
17420,02-AUG-1993,Boeing 757-222,United Airlines,0.0,Denver-Stapleton...,USA,A2,1993,0,1990,No Fatalities
17421,04-AUG-1993,Boeing 727-46,SAM Colombia,0.0,BogotÃ¡-Eldorado...,Colombia,O1,1993,0,1990,No Fatalities
17422,07-AUG-1993,Antonov An-12B,Aviakor,0.0,near El Fasher Airpor...,Sudan,A1,1993,0,1990,No Fatalities
17423,10-AUG-1993,Boeing 767-2J6Er,Air China,0.0,Taipei-Chiang Ka...,Taiwan,H2,1993,0,1990,No Fatalities
17424,14-AUG-1993,Tupolev Tu-154,Aeroflot,0.0,Moscow-Sheremety...,Russia,H2,1993,0,1990,No Fatalities
17425,15-AUG-1993,Boeing 737-406,KLM,0.0,DÃ¼sseldorf Airp...,Germany,H2,1993,0,1990,No Fatalities
17426,16-AUG-1993,Cessna 208B Super Cargomaster,Aviation & Services Europe,1.0,near Valensole,France,A1,1993,1,1990,Low Fatalities
17427,16-AUG-1993,Antonov An-2,ROSTO Yegoryevsky,2.0,Yegoryevsk-Shuvo...,Russia,A1,1993,1,1990,Low Fatalities
17428,17-AUG-1993,Swearingen Sa226-Tc Metro Ii,Aviation Services,2.0,Hartford-Brainar...,USA,A1,1993,1,1990,Low Fatalities
